iter	Passed	Remaining
0	1	113
1	2	108
2	3	103
3	4	98
4	5	97
5	6	97
6	7	94
7	8	98
8	10	103
9	11	102
10	12	99
11	13	97
12	14	94
13	15	93
14	16	92
15	17	91
16	18	89
17	19	87
18	20	86
19	21	84
20	22	82
21	23	82
22	24	82
23	25	82
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	34	70
33	35	69
34	36	68
35	38	68
36	39	68
37	41	67
38	42	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	48	55
47	49	53
48	50	52
49	51	51
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	24
76	79	23
77	80	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
